id,name,abbreviation,population,,,,,,,,,,,
1,Alabama,AL,4887871,,,,,,,,,,,
2,Alaska,AK,737438,,,,,,,,,,,
3,Arizona,AR,7171646,,,,,,,,,,,
4,Arkansas,AZ,3013825,,,,,,,,,,,
5,California,CA,39557045,,,,,,,,,,,
6,Colorado,CO,5695564,,,,,,,,,,,
7,Connecticut,CT,3572665,,,,,,,,,,,
8,Delaware,DE,967171,,,,,,,,,,,
9,Florida,FL,21299325,,,,,,,,,,,
10,Georgia,GA,10519475,,,,,,,,,,,
11,Hawaii,HI,1420491,,,,,,,,,,,
12,Idaho,ID,1754208,,,,,,,,,,,
13,Illinois,IL,12741080,,,,,,,,,,,
14,Indiana,IN,6691878,,,,,,,,,,,
15,Iowa,IA,3156145,,,,,,,,,,,
16,Kansas,KS,2911510,,,,,,,,,,,
17,Kentucky,KY,4468402,,,,,,,,,,,
18,Louisiana,LA,4659978,,,,,,,,,,,
19,Maine,ME,1338404,,,,,,,,,,,
20,Maryland,MD,6042718,,,,,,,,,,,
21,Massachusetts,MA,6902149,,,,,,,,,,,
22,Michigan,MI,9995915,,,,,,,,,,,
23,Minnesota,MN,5611179,,,,,,,,,,,
24,Mississippi,MS,2986530,,,,,,,,,,,
25,Missouri,MO,6126452,,,,,,,,,,,
26,Montana,MT,1062305,,,,,,,,,,,
27,Nebraska,NE,1929268,,,,,,,,,,,
28,Nevada,NV,3034392,,,,,,,,,,,
29,New Hampshire,NH,1356458,,,,,,,,,,,
30,New Jersey,NJ,8908520,,,,,,,,,,,
31,New Mexico,NM,2095428,,,,,,,,,,,
32,New York,NY,19542209,,,,,,,,,,,
33,North Carolina,NC,10383620,,,,,,,,,,,
34,North Dakota,ND,760077,,,,,,,,,,,
35,Ohio,OH,11689442,,,,,,,,,,,
36,Oklahoma,OK,3943079,,,,,,,,,,,
37,Oregon,OR,4190713,,,,,,,,,,,
38,Pennsylvania,PA,12807060,,,,,,,,,,,
39,Rhode Island,RI,1057315,,,,,,,,,,,
40,South Carolina,SC,5084127,,,,,,,,,,,
41,South Dakota,SD,882235,,,,,,,,,,,
42,Tennessee,TN,6770010,,,,,,,,,,,
43,Texas,TX,28701845,,,,,,,,,,,
44,Utah,UT,3161105,,,,,,,,,,,
45,Vermont,VT,626299,,,,,,,,,,,
46,Virginia,VA,8517685,,,,,,,,,,,
47,Washington,WA,7535591,,,,,,,,,,,
48,West Virginia,WV,1805832,,,,,,,,,,,
49,Wisconsin,WI,5813568,,,,,,,,,,,
50,Wyoming,WY,577737,,,,,,,,,,,
,,,,,,,,,,,,,,